mint,snapped_at,price_usd,liquidity_usd
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:30:55.838151+00,0.000056310000,15902.88
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:30:58.79091+00,0.000052180000,15259.34
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:01.506722+00,0.000052180000,15259.34
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:04.229284+00,0.000052180000,15259.34
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:07.218999+00,0.000052180000,15259.34
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:10.466546+00,0.000059140000,16335.64
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:13.174182+00,0.000059140000,16335.64
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:16.513384+00,0.000057890000,16148.91
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:20.805794+00,0.000059140000,16335.64
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:24.66714+00,0.000056380000,15927.44
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:28.342883+00,0.000056380000,15927.44
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:31.53093+00,0.000056380000,15927.44
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:34.966597+00,0.000056370000,15925.79
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:38.237322+00,0.000056370000,15925.79
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:41.172715+00,0.000068640000,17716.31
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:44.232298+00,0.000071240000,18078.59
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:47.221254+00,0.000071240000,18078.59
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:50.359034+00,0.000061410000,16700.22
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:53.563384+00,0.000064120000,17095.63
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:56.42785+00,0.000064120000,17095.63
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:31:59.578101+00,0.000064120000,17095.63
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:02.485477+00,0.000076180000,18753.87
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:05.70659+00,0.000068820000,17763.62
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:08.730361+00,0.000068820000,17763.62
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:11.995826+00,0.000070280000,17966.50
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:14.934135+00,0.000070280000,17966.50
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:18.077071+00,0.000066560000,17450.88
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:22.122479+00,0.000069100000,17804.50
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:27.461121+00,0.000067200000,17542.73
2XzK878GKk8TaiVakJWrvDKgdBDTqxW2X8iG3Xuwpump,2026-07-28 21:32:30.760104+00,0.000067200000,17542.73
